No,question1,clean_question,Top_1,Top_2,Top_3,Top_4,Top_5,desc_Top_1,desc_Top_2,desc_Top_3,desc_Top_4,desc_Top_5
0,How does the Surface Pro himself 4 compare with iPad Pro?,How Surface Pro 4 compare iPad Pro ?,0,10,87,11,97,How does the Surface Pro himself 4 compare with iPad Pro?,What is the best slideshow app for Android?,Why Snapchat on a Samsung?,"What services are from Google: Facebook, YouTube betray Twitter?",How we can earn not easily?
47,How dry I make my website?,How dry I make website ?,47,13,73,40,97,How dry I make my website?,Just how do you learn fruity loops?,Is the USA chocolate covered strawberries have to be refrigerated?,Is web development just building websites? best you get a web developer job if you know how to make a website?,How we can earn not easily?
45,Which mentor the best ways to lose weight?,Which mentor best ways lose weight ?,45,6,42,71,97,Which mentor the best ways to lose weight?,How can I reduce my belly fat through a diet?,How do I overcome my shyness with women?,What are the play-style and strengths of each possible in Hearthstone?,How we can earn not easily?
10,What is the best slideshow app for Android?,What best slideshow app Android ?,10,0,87,11,60,What is the best slideshow app for Android?,How does the Surface Pro himself 4 compare with iPad Pro?,Why Snapchat on a Samsung?,"What services are from Google: Facebook, YouTube betray Twitter?",What are examples of closed source software?
87,Why Snapchat on a Samsung?,Why Snapchat Samsung ?,87,10,0,11,92,Why Snapchat on a Samsung?,What is the best slideshow app for Android?,How does the Surface Pro himself 4 compare with iPad Pro?,"What services are from Google: Facebook, YouTube betray Twitter?",What are exactly?
99,What are which cannot be tamed by humans?,What tamed humans ?,99,90,42,34,92,What are which cannot be tamed by humans?,Did my Adolf Hitler kill his dog Blondi to test the effects of cyanide or because he didn't want her to be captured by the enemy?,How do I overcome my shyness with women?,Why is a bunny the change character in Zootopia?,What are exactly?
84,What are good tips for a thing salesman?,What good tips thing salesman ?,84,79,8,52,92,What are good tips for a thing salesman?,What are the best tricks nucleus remember what you read?,What are the how best books of all time?,Does amazon carrier/delivery man know what's inside the?,What are exactly?
98,"What are the to different symbols used by The Weather Channel, and what do they mean?","What different symbols used The Weather Channel , mean ?",98,82,36,11,49,"What are the to different symbols used by The Weather Channel, and what do they mean?","Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?","My IB Physics IA's question is ""What is the relationship between the radius of the ball, the angle, and the distance traveled?"". lie it work?","What services are from Google: Facebook, YouTube betray Twitter?",Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?
21,What possible with XAT percentile between 85 and 90?,What possible XAT percentile 85 90 ?,21,96,66,1,49,What possible with XAT percentile between 85 and 90?,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,How do I or NIT rourkela CSE?,Should I have a hair transplant at age 24? How much would it cost?,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?
63,What are examples of fixed and variable costs in a fast food restaurant?,What examples fixed variable costs fast food restaurant ?,63,69,3,60,49,What are examples of fixed and variable costs in a fast food restaurant?,How many number of customers are expected per intelligence in five star chicken?,Which food not emulsifiers?,What are examples of closed source software?,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?
43,What is the most effective code ever written in the C language?,What effective code ever written C language ?,43,31,25,60,49,What is the most effective code ever written in the C language?,Can information practices be used in a sentence?,What should be the first computer table language I learn?,What are examples of closed source software?,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?
64,Why do people ask find on Quora that could simply be googled?,Why people ask find Quora could simply googled ?,64,53,57,11,23,Why do people ask find on Quora that could simply be googled?,How do I edit my such question on Quora when I realize that I misspelled a word?,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?","What services are from Google: Facebook, YouTube betray Twitter?",I want to eat hacking where should I start?
1,Should I have a hair transplant at age 24? How much would it cost?,Should I hair transplant age 24 ? How much would cost ?,1,41,18,68,21,Should I have a hair transplant at age 24? How much would it cost?,Which age is the best age to what get married?,I am 20 years old and I still a problem with pimples. What is the remedy?,What are the rate common regrets in old age?,What possible with XAT percentile between 85 and 90?
68,What are the rate common regrets in old age?,What rate common regrets old age ?,68,41,9,18,1,What are the rate common regrets in old age?,Which age is the best age to what get married?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",I am 20 years old and I still a problem with pimples. What is the remedy?,Should I have a hair transplant at age 24? How much would it cost?
41,Which age is the best age to what get married?,Which age best age get married ?,41,68,9,95,1,Which age is the best age to what get married?,What are the rate common regrets in old age?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",What does it mean when my husband looks at other women?,Should I have a hair transplant at age 24? How much would it cost?
95,What does it mean when my husband looks at other women?,What mean husband looks women ?,95,41,9,55,61,What does it mean when my husband looks at other women?,Which age is the best age to what get married?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",If a male rub his penis on up pussy can she get pregnant?,Who is the nicest person you have ever met?
51,Should Harry Potter have ended up with Cho Chang?,Should Harry Potter ended Cho Chang ?,51,14,29,30,61,Should Harry Potter have ended up with Cho Chang?,Why does Batman get kill in Batman v Superman?,"Are there Doctor Who references in the Muse song ""Knights of Cydonia""?",What's the best thing your break-up has done (13 you?,Who is the nicest person you have ever met?
9,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?","After 12th years old boy I sex 12 years old girl , consent . Is anything wrong ?",9,46,41,55,95,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",How does first time sex hasn feel?,Which age is the best age to what get married?,If a male rub his penis on up pussy can she get pregnant?,What does it mean when my husband looks at other women?
19,What is it ai living in the middle class?,What ai living middle class ?,19,78,4,72,95,What is it ai living in the middle class?,"In do you say ""closet"" in French?","How ""aberystwyth"" start reading?",Do medical schools care about which d university you went to for undergrad?,What does it mean when my husband looks at other women?
30,What's the best thing your break-up has done (13 you?,What 's best thing break-up done ( 13 ?,30,9,51,8,95,What's the best thing your break-up has done (13 you?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",Should Harry Potter have ended up with Cho Chang?,What are the how best books of all time?,What does it mean when my husband looks at other women?
46,How does first time sex hasn feel?,How first time sex feel ?,46,75,93,55,9,How does first time sex hasn feel?,What does it feel like to watch porn?,Who first masturbation experience?,If a male rub his penis on up pussy can she get pregnant?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?"
93,Who first masturbation experience?,Who first masturbation experience ?,93,46,55,75,9,Who first masturbation experience?,How does first time sex hasn feel?,If a male rub his penis on up pussy can she get pregnant?,What does it feel like to watch porn?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?"
55,If a male rub his penis on up pussy can she get pregnant?,If male rub penis pussy get pregnant ?,55,46,93,75,9,If a male rub his penis on up pussy can she get pregnant?,How does first time sex hasn feel?,Who first masturbation experience?,What does it feel like to watch porn?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?"
56,Which is a better watch brand Chopard vs Cartier?,Which better watch brand Chopard vs Cartier ?,56,75,37,95,15,Which is a better watch brand Chopard vs Cartier?,What does it feel like to watch porn?,Is it christians to create synthetic gold?,What does it mean when my husband looks at other women?,When can I buy a SpaceX stock?
24,Why do people like Hrithik Roshan tax much?,Why people like Hrithik Roshan tax much ?,24,48,83,95,14,Why do people like Hrithik Roshan tax much?,What is the best Bollywood movie you have self?,How but tall is Messi?,What does it mean when my husband looks at other women?,Why does Batman get kill in Batman v Superman?
48,What is the best Bollywood movie you have self?,What best Bollywood movie self ?,48,24,75,46,14,What is the best Bollywood movie you have self?,Why do people like Hrithik Roshan tax much?,What does it feel like to watch porn?,How does first time sex hasn feel?,Why does Batman get kill in Batman v Superman?
2,What but is the best way to send money from China to the US?,What best way send money China US ?,2,67,91,94,7,What but is the best way to send money from China to the US?,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,I want may Amazon pay balance back to my bank account. what should I do?,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?"
5,How are the two wheeler insurance from Bharti Axa insurance?,How two wheeler insurance Bharti Axa insurance ?,5,94,91,62,7,How are the two wheeler insurance from Bharti Axa insurance?,I want may Amazon pay balance back to my bank account. what should I do?,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?"
12,What if a cricket hits a batsman’s helmet and then goes to the boundary?,What cricket hits batsman ’ helmet goes boundary ?,12,44,48,80,7,What if a cricket hits a batsman’s helmet and then goes to the boundary?,How do I write a sponsorship letter requesting sponsorship for a cricket horcruxes?,What is the best Bollywood movie you have self?,What does the cross shape a pregnancy test means?,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?"
62,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,How accurate Credit Karma credit scores relative 3 main bureaus ? Is Credit Karma posting hard hits credit report ? Does monitoring credit continuously ( weekly daily even ) harm credit ?,62,94,89,91,7,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,I want may Amazon pay balance back to my bank account. what should I do?,What banks currently issue programming Express?,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?"
16,Is it gouging and price fixing?,Is gouging price fixing ?,16,63,54,94,5,Is it gouging and price fixing?,What are examples of fixed and variable costs in a fast food restaurant?,Where do macadamia nuts cost from?,I want may Amazon pay balance back to my bank account. what should I do?,How are the two wheeler insurance from Bharti Axa insurance?
89,What banks currently issue programming Express?,What banks currently issue programming Express ?,89,62,60,94,22,What banks currently issue programming Express?,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,What are examples of closed source software?,I want may Amazon pay balance back to my bank account. what should I do?,What are the differences between clients and servers?
7,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?","By scrapping 500 1000 rupee notes , RBI planning fight issue black money ?",7,91,94,62,2,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?",How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,I want may Amazon pay balance back to my bank account. what should I do?,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,What but is the best way to send money from China to the US?
91,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,How scrapping currency notes INR 500 INR 1000 bring black move deposited Swiss bank accounts back India ?,91,7,94,62,2,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?",I want may Amazon pay balance back to my bank account. what should I do?,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,What but is the best way to send money from China to the US?
94,I want may Amazon pay balance back to my bank account. what should I do?,I want may Amazon pay balance back bank account . I ?,94,91,62,7,2,I want may Amazon pay balance back to my bank account. what should I do?,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?",What but is the best way to send money from China to the US?
69,How many number of customers are expected per intelligence in five star chicken?,How many number customers expected per intelligence five star chicken ?,69,63,91,86,82,How many number of customers are expected per intelligence in five star chicken?,What are examples of fixed and variable costs in a fast food restaurant?,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,What is expect average salary for civil engineers in Nepal?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?"
70,If the United you describe the composition of the plasma membrane?,If United describe composition plasma membrane ?,70,28,49,80,82,If the United you describe the composition of the plasma membrane?,What is the pH of zinc powder reacted with dilute hydrochloric acid?,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?,What does the cross shape a pregnancy test means?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?"
31,Can information practices be used in a sentence?,Can information practices used sentence ?,31,43,60,25,82,Can information practices be used in a sentence?,What is the most effective code ever written in the C language?,What are examples of closed source software?,What should be the first computer table language I learn?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?"
59,How do I become a data scientist in Malaysia?,How I become data scientist Malaysia ?,59,82,27,86,39,How do I become a data scientist in Malaysia?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?",What shall I rights to study BA economics at LSE?,What is expect average salary for civil engineers in Nepal?,How do I get a job for a earth profile in Canada?
86,What is expect average salary for civil engineers in Nepal?,What expect average salary civil engineers Nepal ?,86,27,91,72,69,What is expect average salary for civil engineers in Nepal?,What shall I rights to study BA economics at LSE?,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,Do medical schools care about which d university you went to for undergrad?,How many number of customers are expected per intelligence in five star chicken?
44,How do I write a sponsorship letter requesting sponsorship for a cricket horcruxes?,How I write sponsorship letter requesting sponsorship cricket horcruxes ?,44,67,31,53,12,How do I write a sponsorship letter requesting sponsorship for a cricket horcruxes?,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?,Can information practices be used in a sentence?,How do I edit my such question on Quora when I realize that I misspelled a word?,What if a cricket hits a batsman’s helmet and then goes to the boundary?
32,What is it like to leave the Army with improve dishonorable discharge?,What like leave Army improve dishonorable discharge ?,32,77,31,90,20,What is it like to leave the Army with improve dishonorable discharge?,What is life like after being imprisoned for best term?,Can information practices be used in a sentence?,Did my Adolf Hitler kill his dog Blondi to test the effects of cyanide or because he didn't want her to be captured by the enemy?,How matter at MIT? Will performing poorly in 11 grade affect my chance?
50,What was your school memory?,What school memory ?,50,25,4,19,20,What was your school memory?,What should be the first computer table language I learn?,"How ""aberystwyth"" start reading?",What is it ai living in the middle class?,How matter at MIT? Will performing poorly in 11 grade affect my chance?
61,Who is the nicest person you have ever met?,Who nicest person ever met ?,61,67,95,41,51,Who is the nicest person you have ever met?,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?,What does it mean when my husband looks at other women?,Which age is the best age to what get married?,Should Harry Potter have ended up with Cho Chang?
29,"Are there Doctor Who references in the Muse song ""Knights of Cydonia""?",Are Doctor Who references Muse song `` Knights Cydonia '' ?,29,78,14,4,51,"Are there Doctor Who references in the Muse song ""Knights of Cydonia""?","In do you say ""closet"" in French?",Why does Batman get kill in Batman v Superman?,"How ""aberystwyth"" start reading?",Should Harry Potter have ended up with Cho Chang?
3,Which food not emulsifiers?,Which food emulsifiers ?,3,28,73,54,63,Which food not emulsifiers?,What is the pH of zinc powder reacted with dilute hydrochloric acid?,Is the USA chocolate covered strawberries have to be refrigerated?,Where do macadamia nuts cost from?,What are examples of fixed and variable costs in a fast food restaurant?
57,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?","If I like comment computer post friend Facebook , able see activity ?",57,11,64,40,67,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?","What services are from Google: Facebook, YouTube betray Twitter?",Why do people ask find on Quora that could simply be googled?,Is web development just building websites? best you get a web developer job if you know how to make a website?,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?
26,What is a selling good dose to get high on klonopin on an empty stomach with a low benzo tolerance and not fall asleep?,What selling good dose get high klonopin empty stomach low benzo tolerance fall asleep ?,26,28,6,80,55,What is a selling good dose to get high on klonopin on an empty stomach with a low benzo tolerance and not fall asleep?,What is the pH of zinc powder reacted with dilute hydrochloric acid?,How can I reduce my belly fat through a diet?,What does the cross shape a pregnancy test means?,If a male rub his penis on up pussy can she get pregnant?
18,I am 20 years old and I still a problem with pimples. What is the remedy?,I 20 years old I still problem pimples . What remedy ?,18,9,68,1,55,I am 20 years old and I still a problem with pimples. What is the remedy?,"After 12th years old boy and I had sex with a 12 years old girl, with her consent. Is there anything wrong?",What are the rate common regrets in old age?,Should I have a hair transplant at age 24? How much would it cost?,If a male rub his penis on up pussy can she get pregnant?
80,What does the cross shape a pregnancy test means?,What cross shape pregnancy test means ?,80,70,26,6,55,What does the cross shape a pregnancy test means?,If the United you describe the composition of the plasma membrane?,What is a selling good dose to get high on klonopin on an empty stomach with a low benzo tolerance and not fall asleep?,How can I reduce my belly fat through a diet?,If a male rub his penis on up pussy can she get pregnant?
36,"My IB Physics IA's question is ""What is the relationship between the radius of the ball, the angle, and the distance traveled?"". lie it work?","My IB Physics IA 's question `` What relationship radius ball , angle , distance traveled ? '' . lie work ?",36,98,49,78,27,"My IB Physics IA's question is ""What is the relationship between the radius of the ball, the angle, and the distance traveled?"". lie it work?","What are the to different symbols used by The Weather Channel, and what do they mean?",Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?,"In do you say ""closet"" in French?",What shall I rights to study BA economics at LSE?
33,"How do I can I promote a ""launching soon"" Startup page?",How I I promote `` launching soon '' Startup page ?,33,4,11,78,10,"How do I can I promote a ""launching soon"" Startup page?","How ""aberystwyth"" start reading?","What services are from Google: Facebook, YouTube betray Twitter?","In do you say ""closet"" in French?",What is the best slideshow app for Android?
